1048
61575	14473
52835	12960
52835	61313
61311	35255
61311	12958
53866	14475
53866	61573
60996	33847
60996	11519
54869	16148
54869	61806
60683	32467
60683	10227
55874	17949
55874	62023
60362	31179
60362	9034
56815	19936
56815	62187
60063	29967
60063	7977
57700	22072
57700	62342
59793	28794
59793	6995
58518	24389
58518	62465
59500	27795
59500	6137
5469	62564
5469	26911
4202	62500
4202	58779
5599	62571
5599	27083
3207	62434
3207	58297
5857	62581
5857	27418
2406	62361
2406	57802
6181	62592
6181	27846
1807	62290
1807	57353
6632	62609
6632	28390
1296	62199
1296	56857
7206	62625
7206	29037
914	62126
914	56421
7872	62647
7872	29849
641	62049
641	56006
8622	62657
8622	30687
406	61970
406	55633
9485	62662
9485	31660
244	61898
244	55315
10489	62676
10489	32759
128	61848
128	55014
11583	62682
11583	33916
52	61795
52	54813
12789	62688
12789	35073
19	61750
19	54635
14113	62689
14113	36398
3	61725
3	54531
14114	62690
14114	36396
2	61724
2	54530
12788	62686
12788	35070
18	61749
18	54637
11584	62683
11584	33915
54	61794
54	54811
10488	62677
10488	32762
129	61849
129	55012
9484	62664
9484	31659
243	61897
243	55314
8621	62656
8621	30688
407	61971
407	55634
7871	62646
7871	29846
640	62050
640	56009
7207	62627
7207	29038
916	62125
916	56420
6631	62610
6631	28389
1295	62200
1295	56858
6182	62593
6182	27848
1808	62291
1808	57350
5856	62579
5856	27417
2405	62362
2405	57801
5600	62572
5600	27084
3206	62433
3206	58296
5470	62566
5470	26910
4200	62499
4200	58778
54508	54509
54508	61715
54508	1
26846	26844
26846	46806
26846	62559
59257	59258
59257	5418
59257	46807
37738	37739
37738	62692
37738	15561
59259	26845
59259	62561
59259	5417
59260	26843
59260	5419
59260	62560
